method,comparison_protocol,velocity_direction,symmetry_verified,pd_threshold,mdv_mps,crossing_low_mps,crossing_high_mps,velocity_grid_min_mps,velocity_grid_max_mps,n_cases,n_seeds,mdv_seed_mean_mps,mdv_seed_std_mps,mdv_seed_ci95_low_mps,mdv_seed_ci95_high_mps,mdv_seed_p05_mps,mdv_seed_p95_mps,definition,symmetry_max_abs_pd_difference
Corrected JDL physical,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Corrected JDL physical,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Corrected JDL physical,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Current legacy CSI [production replay],production_replay,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Current legacy CSI [production replay],production_replay,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Current legacy CSI [production replay],production_replay,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Current legacy CSI [scientific controlled],scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Current legacy CSI [scientific controlled],scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Current legacy CSI [scientific controlled],scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
DL-SMI/MVDR global,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
DL-SMI/MVDR global,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
DL-SMI/MVDR global,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
DL-SMI/MVDR local,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
DL-SMI/MVDR local,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
DL-SMI/MVDR local,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
MNEC physical,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
MNEC physical,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
MNEC physical,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Phase-only CSI [production replay],production_replay,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Phase-only CSI [production replay],production_replay,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Phase-only CSI [production replay],production_replay,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,nan,0.0,nan,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Phase-only CSI [scientific controlled],scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Phase-only CSI [scientific controlled],scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Phase-only CSI [scientific controlled],scientific_controlled,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,nan,0.0,nan,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Row complex LS / Wiener [scientific controlled],scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Row complex LS / Wiener [scientific controlled],scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Row complex LS / Wiener [scientific controlled],scientific_controlled,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,nan,0.0,nan,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,nan,0.0,nan,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
SA-MNEC physical [approximate academic reference],scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
SA-MNEC physical [approximate academic reference],scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
SA-MNEC physical [approximate academic reference],scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,
Shrinkage-SMI/MVDR global,scientific_controlled,approaching,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
Shrinkage-SMI/MVDR global,scientific_controlled,receding,False,0.5,1.0,1.0,1.0,1.0,4.0,15,5,1.0,0.0,1.0,1.0,1.0,1.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified,0.0
