parameter,physical_meaning,production_code_location,current_source,ins_nav_servo_fixed_source,echo_observability,affected_chain,simulator_injection,existing_estimator,status,evidence
platform_velocity_error,"真实平台速度/方向与导航上报或处理采用的速度不一致","include/config_structs.hpp:191-195; src/processOnePeriod.cpp:4915-5007; src/processOnePeriod.cpp:336-379","Stage2 的 platform_speed_mps 同时驱动几何和输出；生产默认 position_delta，可选 header","INS/POS header 或 position delta；当前无独立 true/report state","间接可见于 CTDR/P38/慢时间和空间几何，但与目标径向速度、heading 混淆","平台状态; CTDR; P38; CSI 对齐; motion compensation; localization","not_faithful_injection: 同一个速度驱动真实运动、杂波和 packet metadata","无平台状态误差估计器；motion_comp 是速度相关诊断/求解，不是导航误差估计","candidate_high_priority","simulator/target_injection/radar_geometry.cpp:18-23; simulator/stage2_statistical_sim/stage2_config.cpp:680"
platform_position_error,"真实相位中心位置与 INS/POS 上报位置的差异","include/config_structs.hpp:49-60; src/processOnePeriod.cpp:4915-5007; simulator/target_injection/radar_geometry.cpp:18-23","模拟器直线位置由 platform_speed_mps*time 生成；生产使用 header 或 position delta","INS/POS；当前无独立真实位置和报告位置","可由 range、LOS、波位间相位和目标迁移间接观察；与几何/地形误差混淆","LOS/range geometry; beam look vector; P38; target localization","not_faithful_injection: 没有独立导航位置扰动接口","无","observable_candidate","include/motion_comp.hpp; simulator/common/SimulationGeometry.cpp"
roll_error,"平台横滚使真实波束和相位中心姿态偏离处理姿态","include/config_structs.hpp:184-190; include/motion_comp.hpp","当前几何配置有局部轴和相位中心配置，但没有运行时 roll 状态","INS 姿态（当前未进入 Stage2 真值/上报分离）；servo 非同一物理量","理论上由四通道空间相位、beam gain 和多波位结构观察；与 pitch/yaw/servo 耦合","look vector; phase-center rotation; four-channel phase compensation; STAP steering","not_faithful_injection: 没有独立 roll 真值注入","无","not_faithful_injection","simulator/common/SimulationGeometry.h; include/motion_comp.hpp"
pitch_error,"平台俯仰改变 LOS、真实波束方向和基线投影","include/config_structs.hpp:184-190; include/motion_comp.hpp","固定几何/相位中心配置；没有运行时 pitch state","INS 姿态；当前无独立 report state","理论可观测，但与 roll、平台位置和 beam pointing 混淆","look vector; range/ground projection; phase center; STAP","not_faithful_injection: 没有独立 pitch 真值注入","无","not_faithful_injection","simulator/common/SimulationGeometry.h; simulator/target_injection/radar_geometry.cpp"
yaw_heading_error,"平台航向或 yaw 与处理采用的 heading 不一致","simulator/common/SimulationGeometry.h; simulator/common/SimulationGeometry.cpp:94-115; src/processOnePeriod.cpp:4915-5007","模拟器可 fixed_angle 或由速度方向派生 heading；生产由位置差/协议速度派生平面速度","INS heading/速度方向；当前无真实 heading 与报告 heading 分离","可由多波位 look vector、pair phase、Doppler/地理位置观察；与 servo angle 混淆","beam look vector; target geometry; Doppler; P38; localization","not_faithful_injection: 只有 heading source 选择，没有误差扰动","无","observable_candidate","simulator/common/SimulationGeometry.cpp:94-115; include/config_structs.hpp"
beam_pointing_or_servo_error,"真实伺服/波束角与 command/header servo 角不一致","simulator/target_injection/radar_geometry.cpp:48-49; src/mechanical_scan.cpp; include/config_structs.hpp:49-60","Stage2 直接 theta_true_deg=theta_cmd_deg；生产机械链读取 header servo","servo encoder/header 与 command；当前无独立真实角","多波位 beam gain、pair phase 角度斜率和 target transfer 可观察；与 yaw/基线投影混淆","beam gain; look vector; four-channel phase; P38; target protection","not_faithful_injection: 没有 true servo angle 接口","无","observable_candidate","simulator/target_injection/radar_geometry.cpp:48-49; src/mechanical_scan.cpp"
channel_delay_mismatch,"通道固定或时变群时延差","simulator/target_injection/channel_impairments.h:20; simulator/stage2_statistical_sim/stage2_config.cpp:199; src/dbs/NewProtocolReader.cpp","channel_time_delay_ns 在 packet write 前作用于选定通道","固定通道配置/设备校准；当前无运行时真值估计状态","频率维互谱相位斜率直接可见；常数相位是截距 nuisance","pulse compression; CTDR; CSI; STAP covariance","implemented: channel_time_delay_ns 和 range_shift_samples","scripts/estimate_channel_delay.py; D3/J0 历史估计","implemented_observable","simulator/target_injection/channel_impairments.cpp:184-206"
channel_fixed_phase_offset,"通道固定复增益的相位偏置","simulator/target_injection/channel_impairments.h:18; simulator/stage2_statistical_sim/stage2_config.cpp:197","channel_fixed_phase_mismatch_deg 在选定通道上叠加","设备固定校准表；当前没有独立运行时校准源","单波位可见为 pair phase 截距，但与 baseline_error_m 和角度零点混淆","four-channel fusion; CSI; STAP steering","implemented: channel_fixed_phase_mismatch_deg","无专用估计器；可作为 delay/geometry 拟合 nuisance","implemented_but_confounded","simulator/target_injection/channel_impairments.cpp:181-183"
channel_phase_drift,"通道相位随 pulse 或 beam 的慢时间漂移","simulator/target_injection/channel_impairments.h:25-26; simulator/stage2_statistical_sim/stage2_config.cpp:204-205","per_pulse_phase_drift_deg 和 per_beam_phase_bias_deg","设备时钟/温漂/伺服同步；当前无 runtime residual source","逐脉冲 pair phase 轨迹和跨 pair 一致性可见；与 clutter temporal decorrelation 区分需看幅度和闭合相位","CSI/STAP covariance; Doppler; target phase preservation","implemented: per_pulse_phase_drift_deg; per_beam_phase_bias_deg","scripts/estimate_temporal_phase.py; P1 历史估计","implemented_observable","simulator/target_injection/channel_impairments.cpp:181-183"
channel_gain_mismatch,"通道固定幅度不一致","simulator/target_injection/channel_impairments.h:17; simulator/stage2_statistical_sim/stage2_config.cpp:196","channel_amp_mismatch_db","设备幅度校准/AGC；当前无独立在线估计器","pair amplitude、协方差特征和 target transfer 可见；与目标幅度/通道噪声混淆","fusion; covariance; CSI/STAP; target preservation","implemented: channel_amp_mismatch_db","无统一 gain estimator","implemented_but_unestimated","simulator/target_injection/channel_impairments.cpp:158-174"
iq_gain_phase_imbalance,"I/Q 支路增益和相位不平衡引起镜像或复增益失真","simulator/target_injection/channel_impairments.h:26-27; simulator/stage2_statistical_sim/stage2_config.cpp:205-206","iq_gain_imbalance_db; iq_phase_imbalance_deg","通道内部模拟参数；真实设备需来自接收机校准","频谱镜像、复互谱和 target phase 可观察；与 channel gain/phase 混淆","pulse compression; Doppler; covariance","implemented: IQ gain/phase imbalance","无统一 estimator","implemented_but_unestimated","simulator/target_injection/channel_impairments.cpp:158-174"
clock_or_timing_mismatch,"通道采样时钟或触发时序不一致","simulator/target_injection/channel_impairments.h:27; simulator/stage2_statistical_sim/stage2_config.cpp:206","sample_clock_error_ppm 和 time delay 作用于 sample axis","采样时钟/触发同步；当前无 header-level clock truth","fast-time axis、range-frequency slope 和慢时间 phase/Doppler 变化可见；与 delay 混淆需联合拟合","pulse compression; CTDR; Doppler; CSI","implemented: sample_clock_error_ppm; time delay","无 ppm 专用 estimator","observable_candidate","simulator/target_injection/channel_impairments.cpp:184-206"
baseline_geometry_error,"通道相位中心间距或基线标定值与真实值不一致","simulator/target_injection/channel_impairments.h:24; include/config_structs.hpp:184-190; src/dbs/NewProtocolReader.cpp:74-139","baseline_error_m 以 angle-dependent phase 注入；生产使用 four_channel_offsets_m/d_channel","阵列固定几何配置；当前没有真实 offset 与报告 offset 分离","多波位 pair phase 对 sin(theta) 的斜率、六 pair redundancy 和闭合相位可观察；单波位与固定相位混淆","four-channel phase compensation; CSI; STAP steering","implemented_for_pilot: 四通道包对右侧相位中心通道 2/4 注入同一基线相位；其他损伤仍是 selected read channels","analyze_four_channel_observables.py + paired deterministic phase fit；尚未接入生产运行时","recommended_first_pilot","simulator/target_injection/channel_impairments.cpp:176-183; scripts/analyze_four_channel_observables.py; outputs/unknown_system_error_pilot_20260913_v4/manifest.json"
carrier_frequency_error,"真实载频与处理采用载频不一致，改变 wavelength 和相位尺度","simulator/target_injection/target_config.h; simulator/stage2_statistical_sim/stage2_config.cpp:900-997","fc_hz/Br/fs 等由配置写入 XML；无独立 fc truth/report","设备频率参考/波形配置；当前没有频率误差注入","可能从 fast-time phase、range/Doppler 和空间相位联合观察；与 time delay/clock 混淆","waveform; pulse compression; geometry phase; Doppler; STAP","not_implemented: 没有独立 carrier frequency mismatch 字段","无","not_faithful_injection","simulator/stage2_statistical_sim/stage2_config.cpp:900-997"
clutter_temporal_decorrelation,"杂波本身的慢时间创新或相关系数变化，不是固定通道校准误差","simulator/stage2_statistical_sim/stage2_config.cpp:762-763; simulator/stage2_statistical_sim/stage2_temporal_clutter.cpp:43-52","scene.area.temporal_correlation_rho","环境/地表/散射统计；不是 INS/servo 参数","coherence、协方差稳定性和 Doppler spread 可见，但不能由单一 phase correction 恢复","clutter covariance; CSI/STAP; CFAR","implemented: temporal_correlation_rho","无通道校准 estimator；应作为 nuisance/环境变量","confounded_or_nuisance","configs/research/ai_csi_model_mismatch_suite.json:79; docs/AI_CSI_15_ModelMismatch_Challenge报告.md"
channel_range_shift,"通道固定采样点或范围偏移","simulator/target_injection/channel_impairments.h:21; simulator/stage2_statistical_sim/stage2_config.cpp:200","channel_range_shift_samples","设备通道延迟/采样对齐；当前作为模拟配置","range-domain shift 和 frequency phase slope 可见；与 time delay 共线","pulse compression; CTDR; CSI","implemented: channel_range_shift_samples","可复用 delay estimator，但尚未统一字段审计","implemented_observable","simulator/target_injection/channel_impairments.cpp:184-206"
channel_drop_or_saturation,"通道丢失、饱和或非线性截断","simulator/target_injection/channel_impairments.h:28-29; simulator/stage2_statistical_sim/stage2_config.cpp:207","channel_drop_probability; channel_saturation_level","接收机健康状态/动态范围；当前无生产健康元数据闭环","缺通道、幅度截断和统计异常可见；估计器需先做质量门控","raw IQ; fusion; covariance; CFAR","implemented: drop/saturation","无统一 estimator；应先触发 fallback/quality flag","implemented_quality_case","simulator/target_injection/channel_impairments.cpp:207-229"
